,gross,net,nowcast_chain,nowcast_chain_0_2
2021-04-18,2826.0,2249.0,1490.4560933625694,1470.163649148409
2021-04-19,3785.0,3567.0,1773.978225793527,1728.9611560962726
2021-04-20,2943.0,2733.0,2265.725234732003,1838.7649767686282
2021-04-21,2944.0,2740.0,2000.7745858628757,1847.9532376621332
2021-04-22,2709.0,2490.0,2317.6510181206777,2148.627272114034
2021-04-23,3043.0,2835.0,2085.0189614647325,1901.9405696738427
2021-04-24,566.0,377.0,1597.186836264542,1558.2139724646827
2021-04-25,3962.0,3764.0,1956.4805287410818,2209.881280684561
2021-04-26,1834.0,1618.0,1760.2291724982567,2020.5259625034985
2021-04-27,2615.0,2429.0,1788.058774574902,1661.132684665115
2021-04-28,2832.0,2628.0,1883.4883026579573,2040.6939107368344
2021-04-29,2446.0,2223.0,2133.7812153633904,1593.5303468034438
2021-04-30,2760.0,2565.0,1924.4650466073751,1677.864666467354
2021-05-01,515.0,312.0,1440.0162067810707,1387.56438507994
2021-05-02,2461.0,2246.0,1458.4982878388853,1394.4231857995944
2021-05-03,279.0,58.0,1018.2079815228602,990.3636772146758
2021-05-04,3192.0,2984.0,1164.982953819441,1147.5970217093295
2021-05-05,4858.0,4659.0,4435.48338639323,102923.07416578881
2021-05-06,2827.0,2613.0,4964.960413134287,3621.0001365334615
2021-05-07,1682.0,1476.0,1808.5737035104428,1729.7578618280563
2021-05-08,524.0,319.0,1356.771826478506,1515.4653009243573
2021-05-09,2487.0,2274.0,1456.68743379602,1405.783884792945
2021-05-10,3599.0,3381.0,1818.8702678588438,1828.8683562549377
2021-05-11,2647.0,2443.0,1866.0991903555655,1840.8649635595282
2021-05-12,3733.0,3529.0,4145.950306631883,3919.180251609176
2021-05-13,2858.0,2656.0,4883.330845518804,3393.05499317688
2021-05-14,2417.0,2193.0,4751.584210637027,2516.3046162230867
2021-05-15,1611.0,1394.0,2044.5438633125323,1825.0310065852955
2021-05-16,449.0,233.0,1476.5604777387127,1406.3288347213654
2021-05-17,3562.0,3343.0,1769.0751430937478,1587.6367061650951
2021-05-18,2089.0,-2614.0,1999.096992516584,1477.643136563784
2021-05-19,3765.0,3347.0,4422.493168536547,3039.656664216795
2021-05-20,1868.0,1558.0,2215.691303780558,1631.33318251767
2021-05-21,3173.0,2946.0,2358.1201688577066,1721.6205799748084
2021-05-22,451.0,211.0,1559.0761184365026,1436.3136011100464
2021-05-23,2591.0,2372.0,1628.4046936901582,2163.4945665619957
2021-05-24,4239.0,4045.0,2041.671605845988,1892.2959100892065
2021-05-25,2501.0,2297.0,2024.612179474346,1826.9557012861437
2021-05-26,3395.0,3186.0,2205.9621945707213,2701.687331574753
2021-05-27,3457.0,3232.0,2401.3124400433335,1970.1139118678996
2021-05-28,4075.0,3861.0,2673.6629967314047,2184.6760101221253
2021-05-29,398.0,181.0,1958.6985250770738,2453.8852865531044
2021-05-30,3776.0,3531.0,2145.7915418228954,2830.8925712101204
2021-05-31,235.0,22.0,1580.5218166820873,1509.2857142857142
2021-06-01,9258.0,9034.0,2854.9622797659417,3037.023258953503
2021-06-02,5911.0,5696.0,7973.311636028385,45441.59339742006
2021-06-03,5574.0,5179.0,7085.728831293602,9976.189860761282
2021-06-04,4342.0,4116.0,3880.0160813227403,3437.8749017492564
2021-06-05,735.0,501.0,2842.95567904347,2688.8694882866657
2021-06-06,6172.0,5936.0,3245.3566156375587,3057.7115660141135
2021-06-07,9986.0,9763.0,4659.995666455235,4667.738438525176
2021-06-08,5830.0,5599.0,4783.308435070292,4625.3306778084225
2021-06-09,7876.0,7630.0,6170.749464942603,4867.035508845824
2021-06-10,9800.0,9563.0,11222.84522235912,15686.758670444038
2021-06-11,8198.0,7957.0,12251.132357004552,9415.54872710034
2021-06-12,5780.0,5533.0,6388.160014467246,6092.198152451723
2021-06-13,1220.0,986.0,4756.301049005328,4475.047442516694
2021-06-14,16185.0,15957.0,15484.793312818938,10657.917936289621
2021-06-15,4047.0,3814.0,7293.044299426064,5510.29812722797
2021-06-16,10004.0,9755.0,6870.3223048955115,5842.480652889271
2021-06-17,10533.0,10302.0,7245.219318368684,6123.564761870056
2021-06-18,13805.0,13600.0,14929.489476814153,13295.481027243053
2021-06-19,7740.0,7513.0,9332.494470378599,7968.681206603136
2021-06-20,1188.0,979.0,6372.037767647399,6928.291810128218
2021-06-21,17648.0,17407.0,8319.822303680507,7521.686398601322
2021-06-22,10651.0,10401.0,8551.362680502263,7549.456206903824
2021-06-23,16031.0,15788.0,9957.106196362354,10008.729784129668
2021-06-24,17041.0,16798.0,11131.421763172008,9225.433558927767
2021-06-25,16267.0,16040.0,13428.785946719829,11360.728802782154
2021-06-26,3146.0,2907.0,9318.558160827712,9876.80558993306
2021-06-27,17788.0,17529.0,10465.5698971957,9777.023981566292
2021-06-28,32538.0,32284.0,14604.905053441138,14263.657348972085
2021-06-29,19362.0,19135.0,15228.46186556832,14330.908162933581
2021-06-30,33474.0,33234.0,38610.10732342307,198244.61913547973
2021-07-01,19912.0,19690.0,18532.377495844063,16278.855720468402
2021-07-02,27658.0,27407.0,20331.637571153406,17415.635673310353
2021-07-03,3548.0,3299.0,15431.440923662522,14441.53232359614
2021-07-04,26846.0,26593.0,16607.378438662858,15681.183272533688
2021-07-05,52903.0,52639.0,42257.95745746897,67992.28759475914
2021-07-06,28605.0,28334.0,48105.35365266355,43624.9274674065
2021-07-07,32280.0,32047.0,44207.9626945567,35310.469210704105
2021-07-08,32242.0,31977.0,43714.012548068546,28686.028451071994
2021-07-09,27474.0,27213.0,25352.44408292512,22585.02407964065
2021-07-10,7573.0,7321.0,19591.39058761318,18646.059627370876
2021-07-11,33477.0,33207.0,20659.045336111198,19906.043447067557
2021-07-12,3157.0,2922.0,20322.658735602174,15086.05218527047
2021-07-13,1630.0,1383.0,10226.750363675874,10112.8663211728
2021-07-14,138557.0,138268.0,57446.577131411665,89701.53911663477
2021-07-15,48142.0,47893.0,64235.37072739347,63550.41868583095
2021-07-16,37454.0,37188.0,35351.6757502271,41945.189099472846
2021-07-17,8303.0,8045.0,26372.369913669518,31380.878656817826
2021-07-18,58467.0,58228.0,30869.539119767567,35281.79228606097
2021-07-19,89215.0,88918.0,63638.05882110756,74957.44003966039
2021-07-20,46356.0,46125.0,65845.39999825264,67287.17720299834
2021-07-21,34709.0,34432.0,38922.95898440618,47017.19143145135
2021-07-22,39999.0,39731.0,35077.999822556165,34005.01091302941
2021-07-23,44491.0,44210.0,56169.56185807559,42446.28673876014
2021-07-24,24540.0,24289.0,30392.770307042585,28603.34761402989
2021-07-25,5718.0,5430.0,22726.530588313046,22001.151623807786
2021-07-26,55062.0,54604.0,40515.34969054987,42897.09270356514
2021-07-27,23520.0,23227.0,40735.807743676625,37598.449727906365
2021-07-28,19979.0,17598.0,21958.58542091485,25196.165192489716
2021-07-29,30981.0,30689.0,22456.05969575065,20080.34395242017
2021-07-30,37227.0,36961.0,42298.60588088741,31172.74120334647
2021-07-31,18806.0,18530.0,22588.734316039998,23434.175360066874
2021-08-01,4739.0,4482.0,17475.538388890734,19707.883201376448
2021-08-02,48915.0,48568.0,35018.41454447118,34205.25491712106
2021-08-03,21733.0,21466.0,36392.67281741909,27719.49727267779
2021-08-04,21867.0,21562.0,20952.56549296569,18581.476247121966
2021-08-05,37482.0,37199.0,42318.70521270716,28637.498228228895
2021-08-06,31732.0,31442.0,40204.35151001241,27950.063967764545
2021-08-07,21528.0,21243.0,23704.86418150263,20571.090080967933
2021-08-08,5090.0,4843.0,21294.519815776323,20309.839063646872
2021-08-09,54473.0,54134.0,37754.1578695594,34286.27407789183
2021-08-10,23580.0,23297.0,42683.61842040664,32168.577292957834
2021-08-11,22269.0,21999.0,22793.00721525724,24539.773698723187
2021-08-12,40268.0,39967.0,40252.05415800556,33535.415986948385
2021-08-13,32637.0,32362.0,42195.64682637748,28114.970260969265
2021-08-14,22032.0,21742.0,24787.505182097375,24674.145288366144
2021-08-15,4376.0,4128.0,18866.476111901888,17942.13553570278
